element,original_line,scene_abbreviation,original_content,element_type,element_text,section_depth,scene_number,is_centered,is_dual_dialogue
"Action: This is a Southern story, full of lies and fabrications, but truer for their inclusion.",0,.,"This is a Southern story, full of lies and fabrications, but truer for their inclusion.",Action,"This is a Southern story, full of lies and fabrications, but truer for their inclusion.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Page Break: ====,2,.,====,Page Break,====,0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Action: **FADE IN:**,4,.,**FADE IN:**,Action,**FADE IN:**,0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Scene Heading: A RIVER.,6,.,.A RIVER.,Scene Heading,A RIVER.,0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: We're underwater, watching a fat catfish swim along.",8,.,"We're underwater, watching a fat catfish swim along.  ",Action,"We're underwater, watching a fat catfish swim along.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Action: This is The Beast.,10,.,This is The Beast.,Action,This is The Beast.,0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: EDWARD (V.O.)
There are some fish that cannot be caught.  It's not that they're faster or stronger than other fish.  They're just touched by something extra.  Call it luck.  Call it grace.  One such fish was The Beast.",12,.,EDWARD (V.O.),Action,"EDWARD (V.O.)
There are some fish that cannot be caught.  It's not that they're faster or stronger than other fish.  They're just touched by something extra.  Call it luck.  Call it grace.  One such fish was The Beast.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: The Beast's journey takes it past a dangling fish hook, baited with worms.  Past a tempting lure, sparkling in the sun.  Past a swiping bear claw.  The Beast isn't worried.",15,.,"The Beast's journey takes it past a dangling fish hook, baited with worms.  Past a tempting lure, sparkling in the sun.  Past a swiping bear claw.  The Beast isn't worried.",Action,"The Beast's journey takes it past a dangling fish hook, baited with worms.  Past a tempting lure, sparkling in the sun.  Past a swiping bear claw.  The Beast isn't worried.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: EDWARD (V.O.)(CONT'D)
By the time I was born, he was already a legend.  He'd taken more hundred-dollar lures than any fish in Alabama. Some said that fish was the ghost of Henry Walls, a thief who'd drowned in that river 60 years before.   Others claimed he was a lesser dinosaur, left over from the Cretaceous period.",17,.,EDWARD (V.O.)(CONT'D),Action,"EDWARD (V.O.)(CONT'D)
By the time I was born, he was already a legend.  He'd taken more hundred-dollar lures than any fish in Alabama. Some said that fish was the ghost of Henry Walls, a thief who'd drowned in that river 60 years before.   Others claimed he was a lesser dinosaur, left over from the Cretaceous period.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Scene Heading: WILL'S BEDROOM - NIGHT (1973),20,INT.,INT.  WILL'S BEDROOM - NIGHT (1973),Scene Heading,WILL'S BEDROOM - NIGHT (1973),0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: WILL BLOOM, AGE 3, listens wide-eyed as his father EDWARD BLOOM, 40's and handsome, tells the story.  In every gesture, Edward is bigger than life, describing each detail with absolute conviction.",22,.,"WILL BLOOM, AGE 3, listens wide-eyed as his father EDWARD BLOOM, 40's and handsome, tells the story.  In every gesture, Edward is bigger than life, describing each detail with absolute conviction.",Action,"WILL BLOOM, AGE 3, listens wide-eyed as his father EDWARD BLOOM, 40's and handsome, tells the story.  In every gesture, Edward is bigger than life, describing each detail with absolute conviction.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Character: EDWARD,24,.,EDWARD,Character,EDWARD,0,,False,False
Dialogue: I didn't put any stock into such speculation or superstition.  All I knew was I'd been trying to catch that fish since I was a boy no bigger than you.,25,.,I didn't put any stock into such speculation or superstition.  All I knew was I'd been trying to catch that fish since I was a boy no bigger than you.  ,Dialogue,I didn't put any stock into such speculation or superstition.  All I knew was I'd been trying to catch that fish since I was a boy no bigger than you.,0,,False,False
Parenthetical: (closer),26,.,(closer),Parenthetical,(closer),0,,False,False
"Dialogue: And on the day you were born, that was the day I finally caught him.",27,.,"And on the day you were born, that was the day I finally caught him.",Dialogue,"And on the day you were born, that was the day I finally caught him.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Scene Heading: CAMPFIRE - NIGHT (1977),29,EXT.,EXT.  CAMPFIRE - NIGHT (1977),Scene Heading,CAMPFIRE - NIGHT (1977),0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: A few years later, and Will sits with the other INDIAN GUIDES as Edward continues telling the story to the tribe.",31,.,"A few years later, and Will sits with the other INDIAN GUIDES as Edward continues telling the story to the tribe.  ",Action,"A few years later, and Will sits with the other INDIAN GUIDES as Edward continues telling the story to the tribe.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
